author,text,date,likes,polarity,rating,emotion,aspect
ONINA7978,paaaaaakk.. Jepang negara maju... Indonesia negara maju munduur🙄🙄🙄,-,0,Negatif,1,Sarkas,Jepang:KomentarTidakLogis
sunset in the morning,"berapa UMR di Jepang, pak ?",-,0,Negatif,2,Sarkas,Aspek:BedaHarga
me_cha,dongo banget nih dpr lulusan apa si anjjj,-,0,Negatif,2,Sarkas,DPR:Blunder
fauzan zulhan,sdh mulai eror menteri pertanian😅,-,0,Negatif,2,Sarkas,Mentan:Blunder
SEBLAK CIHUY BAWEAN🔥🍜✨,COBAK GAJINYA SAMAIN KAYAK JEPANG ANYING,-,0,Negatif,5,Sarkas,Gaji:Kecil
tuti titi,Menteri Prabowo gk ada yg pinter ..heran,-,0,Negatif,2,Sarkas,Mentan:Blunder
Mr.Feyza Rosad,mentri² makin kesini makin pada error ya,-,0,Negatif,1,Sarkas,Mentri²:Makin Kesalahan
bank is,Cara berfikirnya mulai kacau,-,0,Negatif,1,Marah,Mentan:Blunder
R for Ranger,"tapi di Jepang, kalau Pejabat ngerasa gk becus kerjanya langsung mengundurkan diri",-,0,Negatif,2,Sarkas,Mentan:Blunder
siksa kubur,"Tokyo, Jepang harga beras 100/kg umr 117.800/jam",-,0,Negatif,1,Marah,Beras:Mahal
Arjuna Bojong farm STORE,100rb /kg.. gajinya paling kecil 30jt rata2,-,0,Negatif,1,Marah,Gaji:Kecil
yonatannandaradri,negara maju kok d bandingkan Indonesia😂,-,0,Negatif,2,Sarkas,Aspek:Bandingkan
sinagabonar378,"pakk UMR jepang 20jt, UMR indo 4jt😂",-,0,Negatif,5,Marah,UMR Indo:BedaDenganJepang
Kesatria Kegelapan,Prabowo bisa bisanya pilih Mentri model gini wo,-,0,Negatif,2,Sarkas,Mentan:Blunder
Mrs. Wang😊,dia ngomong sadar nggak sih???😏,-,0,Negatif,2,Sarkas,Mentan:Blunder
FARMER GEN Z🌾🌶,"maksud pak amran itu, pembeli beras kalau ada kenaikan harga sedikit jangan pada koar koar, karena petani juga butuh mkan, apalagi harga obat "" an, dan pupuk yang menunjang pertumbuhan padi itu relatif mahal, kalau beras mahal para buyyer / konsumen harus bisa menoleransi😁",-,0,Positif,4,Senang,Pembeli:BisaMenoleransi
jangkung,Membandingkan dengan Jepang? Gimana klo kita bandingkan gaji jepang dengan indo🤔,-,0,Negatif,2,Sarkas,Membandingkan:Beda
fitriashop001,jepang UMR nya 50 jt pak😌,-,0,Positif,5,Senang,Jepang:BisaDibandingkan
Hamba Allah,🇯🇵=kerja serius gaji serius 🇮🇩=kerja serius gaji bercanda 😅😂🤣,-,0,Negatif,1,Sarkas,Jepang:BedaGaji
𝘚𝘶𝘢𝘮𝘪Nya_𝘒𝘦𝘪𝘴𝘺𝘢🤴,sy ank petani. beras gk usah 100 ribu perkilo. cuku 15 ribu kg itu dah cukup asal pupuk gratis.,-,0,Positif,4,Senang,Beras:Rajin
🌹❤️MENCARIMU🌻🌻🌧️,pak? di rumahku gak da beras karena gak da duit untuk beli🥺.,-,0,Negatif,5,Sedih,Beras:Mahal
Erik Febrian,𝗚𝘄 𝘆𝗮𝗻𝗴 𝗵𝗮𝗯𝗶𝘀 𝗪𝗗 𝟮𝟯𝗷𝘂𝘁𝗮 𝗯𝗶𝗹𝗲𝗸𝗸😎🙈😍,-,0,Negatif,5,Marah,Mentan:Blunder
Novita sari,Emngg anjj smuaa ko pemerintah skrg😂,-,0,Negatif,2,Sarkas,Pemerintah:Blunder
ZZZZZZZ,petani harus di sejarahtera kan kalo petani gak di sejarahtera kan pada malas untuk bertani dan dampak nya pertahanan pangan kita akan melemah. mentan amran orang baik sehat selalu pak 👑,-,0,Positif,5,Senang,Petani:Sejahtera
nietha_58,"gaji 3jt, beras 1 sak 350rb 😂,",-,0,Negatif,2,Sarkas,Gaji:BedaDenganHargaBeras
dima azhari,dijepang lapangan krj mmbeludak,-,0,Negatif,2,Sarkas,Jepang:BelumPaham
Mama Jasmine🤍🌸✨,Minimal gajinya sama kek Jepang,-,0,Negatif,2,Sarkas,Gaji:BedaDenganJepang
munawaroh syed,pak jepang ekonomi nya bagus rakyat nya sejahtera lahhh Indonesia apa kabar pak ini bapak lagi ngelindur kah,-,0,Negatif,1,Marah,Mentan:Ngelindur
BOSS AMSTRONG,buat aja 100 rb per kg pak mentri,-,0,Negatif,2,Marah,Mentan:Blunder
arefkal,"Jepang gaji nya gede anj, malah di banding"" kan sama Jepang, kejauhan",-,0,Negatif,1,Sarkas,Jepang:Kecil
user43527080585241,mentri pak prabowo kacau semua,-,0,Negatif,1,Sarkas,Mentri:Kacau
Reina Vidia,logika macam apa ini..orang2 kayak gini di kasih jabatan makin ancur negara ini..eh udah ding 🥺🤔,-,0,Negatif,5,Sarkas,Mentan:Blunder
TIGA SATU MUSIC,"iya jepang masyarakatnya makmur, pemerintahnya ga ada yg korup, beda sama kita pak",-,0,Negatif,2,Sarkas,Jepang:Berbeda
Wak Ade,Ini mau meyusahkan rakyat kecil,-,0,Negatif,1,Marah,Mentan:Mahal
IRA💙👓🧡,Bandingin harga beras Indonesia sama Jepang🙄 Bandingin UMR nya juga donk🤨,-,0,Negatif,1,Sarkas,Bandingin:Beda
🌴🌺🌺🍉,gajih UMR indo 3juta/bulan.jepang 30juta/bulan.,-,0,Negatif,5,Marah,UMR Indo:Mahal
pejakadesa,jepang mau tukeran dpr ga?kalau mau ambil aja bapak itu kita yang bayar gpp,-,0,Negatif,1,Marah,Mentan:Blunder
Roziq Official,di samakan sama jepang 😅,-,0,Negatif,2,Sarkas,Jepang:Beda
Aeyza,"Pendapatan jepang juga menyejahterakan rakyat bosssss, lah indonesia pendapatan kdg sehari 20rb",-,0,Negatif,1,Marah,Pendapatan:Kecil
ShindyTika,gimana gimana ? indo disamakn dg jepang helloowww ???,-,0,Negatif,2,Sarkas,Mentan:Blunder
💞i am Li Li (李黎)🍒,"makin eror ih amit"" malah ngebandingin sma jepang ya beda jauh atuh",-,0,Negatif,1,Marah,Mentan:Blunder
D,dongok banget😏,-,0,Negatif,2,Sarkas,Beras:Mahal
単純な人🇮🇩🇯🇵,tapi gaji disini 1JUTA/HARI😅😅😅,-,0,Positif,5,Senang,Gaji:Kecil
slametnuraini,kami sebagai petani setuju dengan sampean pak.....karna slma ini kami petani di pandang rendah sama para pejabat,-,0,Negatif,5,Marah,Mentan:Blunder
claudy_4’,Perntaan macam apa itu,-,0,Negatif,1,Marah,Mentan:Blunder
